iter	Passed	Remaining
1299	1186226	4288665
1300	1187225	4288064
1301	1188468	4288344
1302	1189795	4288924
1303	1190902	4288708
1304	1191784	4287683
1305	1192805	4287157
1306	1194020	4287327
1307	1195050	4286833
1308	1196165	4286640
1309	1197790	4288271
1310	1199018	4288480
1311	1199873	4287354
1312	1201104	4287569
1313	1202114	4286992
1314	1203216	4286743
1315	1204642	4287647
1316	1205869	4287841
1317	1206868	4287221
1318	1207892	4286690
1319	1209121	4286884
1320	1210058	4286043
1321	1211150	4285749
1322	1212039	4284738
1323	1212849	4283447
1324	1213793	4282630
1325	1214569	4281218
1326	1215272	4279553
1327	1216124	4278413
1328	1217044	4277513
1329	1217851	4276217
1330	1218585	4274662
1331	1219385	4273340
1332	1220062	4271591
1333	1220926	4270498
1334	1221522	4268467
1335	1222521	4267845
1336	1223238	4266237
1337	1224086	4265090
1338	1225055	4264364
1339	1225899	4263203
1340	1226909	4262619
1341	1227873	4261875
1342	1228585	4260255
1343	1229416	4259048
1344	1230136	4257461
1345	1231093	4256694
1346	1231839	4255196
1347	1232651	4253927
1348	1233745	4253634
1349	1234546	4252325
1350	1235296	4250846
1351	1236091	4249521
1352	1237015	4248639
1353	1237881	4247562
1354	1238724	4246403
1355	1239640	4245494
1356	1240416	4244106
1357	1241236	4242873
1358	1242033	4241558
1359	1242976	4240743
1360	1243762	4239393
1361	1244509	4237911
1362	1245530	4237363
1363	1246276	4235878
1364	1247300	4235340
1365	1248109	4234071
1366	1249080	4233351
1367	1250008	4232485
1368	1250731	4230924
1369	1251616	4229915
1370	1252611	4229276
1371	1253499	4228277
1372	1254306	4227003
1373	1254976	4225269
1374	1255642	4223525
1375	1256361	4221958
1376	1257192	4220770
1377	1258165	4220060
1378	1259024	4218964
1379	1259925	4218012
1380	1260819	4217035
1381	1261672	4215922
1382	1262721	4215462
1383	1263826	4215189
1384	1264725	4214230
1385	1265595	4213174
1386	1266411	4211937
1387	1267128	4210372
1388	1268049	4209486
1389	1268779	4207965
1390	1269413	4206129
1391	1270206	4204822
1392	1270942	4203324
1393	1271853	4202408
1394	1272816	4201663
1395	1273675	4200574
1396	1274665	4199919
1397	1275490	4198718
1398	1276205	4197156
1399	1276950	4195694
1400	1277905	4194922
1401	1278622	4193370
1402	1279354	4191869
1403	1280372	4191305
1404	1281425	4190854
1405	1282342	4189957
1406	1283224	4188948
1407	1284078	4187847
1408	1285161	4187491
1409	1286194	4186974
1410	1287086	4185995
1411	1288135	4185528
1412	1289117	4184841
1413	1290093	4184137
1414	1291254	4184028
1415	1292276	4183471
1416	1293165	4182483
1417	1294284	4182235
1418	1295160	4181204
1419	1296573	4181906
1420	1297635	4181471
1421	1298883	4181637
1422	1299873	4180970
1423	1301457	4182212
1424	1302521	4181779
1425	1303430	4180850
1426	1304691	4181048
1427	1305961	4181270
1428	1306983	4180700
1429	1308233	4180857
1430	1309209	4180139
1431	1310404	4180116
1432	1311571	4180003
1433	1312397	4178805
1434	1313379	4178103
1435	1314415	4177571
1436	1315447	4177026
1437	1316280	4175848
1438	1317226	4175030
1439	1318024	4173744
1440	1318881	4172644
1441	1319788	4171704
1442	1320756	4170954
1443	1321801	4170447
1444	1322713	4169523
1445	1323661	4168709
1446	1324320	4166987
1447	1325165	4165851
1448	1325895	4164355
1449	1326539	4162589
1450	1327413	4161545
1451	1328305	4160560
1452	1329116	4159318
1453	1329863	4157882
1454	1330743	4156858
1455	1331587	4155723
